id	productId	storeDate	storeLocation	priceEach	quantity	mgfDate	expDate
21	7	2024-01-01	Warehouse 3 - Westminster, CA 92683	44.00	100000	2024-01-01	2025-01-01
22	8	2022-01-01	Warehouse 1 - Westminster, CA 92683	80.00	100000	2022-01-01	2023-01-01
23	8	2023-01-01	Warehouse 2 - Westminster, CA 92683	85.00	100000	2023-01-01	2024-01-01
24	8	2024-01-01	Warehouse 3 - Westminster, CA 92683	90.00	100000	2024-01-01	2025-01-01
25	9	2022-01-01	Warehouse 1 - Westminster, CA 92683	24.00	100000	2022-01-01	2023-01-01
26	9	2023-01-01	Warehouse 2 - Westminster, CA 92683	25.00	100000	2023-01-01	2024-01-01
27	9	2024-01-01	Warehouse 3 - Westminster, CA 92683	26.00	100000	2024-01-01	2025-01-01
28	10	2022-01-01	Warehouse 1 - Westminster, CA 92683	20.00	100000	2022-01-01	2023-01-01
29	10	2023-01-01	Warehouse 2 - Westminster, CA 92683	21.00	100000	2023-01-01	2024-01-01
30	10	2024-01-01	Warehouse 3 - Westminster, CA 92683	22.00	100000	2024-01-01	2025-01-01
31	11	2022-01-01	Warehouse 1 - Westminster, CA 92683	12.00	100000	2022-01-01	2023-01-01
32	11	2023-01-01	Warehouse 2 - Westminster, CA 92683	13.00	100000	2023-01-01	2024-01-01
33	11	2024-01-01	Warehouse 3 - Westminster, CA 92683	14.00	100000	2024-01-01	2025-01-01
34	12	2022-01-01	Warehouse 1 - Westminster, CA 92683	8.00	100000	2022-01-01	2023-01-01
35	12	2023-01-01	Warehouse 2 - Westminster, CA 92683	9.00	100000	2023-01-01	2024-01-01
36	12	2024-01-01	Warehouse 3 - Westminster, CA 92683	10.00	100000	2024-01-01	2025-01-01
37	13	2022-01-01	Warehouse 1 - Westminster, CA 92683	9.00	100000	2022-01-01	2023-01-01
38	13	2023-01-01	Warehouse 2 - Westminster, CA 92683	10.00	100000	2023-01-01	2024-01-01
39	13	2024-01-01	Warehouse 3 - Westminster, CA 92683	11.00	100000	2024-01-01	2025-01-01
40	14	2022-01-01	Warehouse 1 - Westminster, CA 92683	16.00	100000	2022-01-01	2023-01-01
41	14	2023-01-01	Warehouse 2 - Westminster, CA 92683	17.00	100000	2023-01-01	2024-01-01
42	14	2024-01-01	Warehouse 3 - Westminster, CA 92683	18.00	100000	2024-01-01	2025-01-01
43	15	2022-01-01	Warehouse 1 - Westminster, CA 92683	8.00	100000	2022-01-01	2023-01-01
44	15	2023-01-01	Warehouse 2 - Westminster, CA 92683	9.00	100000	2023-01-01	2024-01-01
45	15	2024-01-01	Warehouse 3 - Westminster, CA 92683	10.00	100000	2024-01-01	2025-01-01
46	16	2022-01-01	Warehouse 1 - Westminster, CA 92683	6.00	100000	2022-01-01	2023-01-01
47	16	2023-01-01	Warehouse 2 - Westminster, CA 92683	7.00	100000	2023-01-01	2024-01-01
48	16	2024-01-01	Warehouse 3 - Westminster, CA 92683	8.00	100000	2024-01-01	2025-01-01
49	17	2022-01-01	Warehouse 1 - Westminster, CA 92683	4.00	100000	2022-01-01	2023-01-01
50	17	2023-01-01	Warehouse 2 - Westminster, CA 92683	4.50	100000	2023-01-01	2024-01-01
51	17	2024-01-01	Warehouse 3 - Westminster, CA 92683	5.00	100000	2024-01-01	2025-01-01
52	18	2022-01-01	Warehouse 1 - Westminster, CA 92683	2.00	100000	2022-01-01	2023-01-01
53	18	2023-01-01	Warehouse 2 - Westminster, CA 92683	2.50	100000	2023-01-01	2024-01-01
54	18	2024-01-01	Warehouse 3 - Westminster, CA 92683	3.00	100000	2024-01-01	2025-01-01
55	19	2022-01-01	Warehouse 1 - Westminster, CA 92683	10.00	100000	2022-01-01	2023-01-01
56	19	2023-01-01	Warehouse 2 - Westminster, CA 92683	11.00	100000	2023-01-01	2024-01-01
57	19	2024-01-01	Warehouse 3 - Westminster, CA 92683	12.00	100000	2024-01-01	2025-01-01
58	20	2022-01-01	Warehouse 1 - Westminster, CA 92683	8.00	100000	2022-01-01	2023-01-01
59	20	2023-01-01	Warehouse 2 - Westminster, CA 92683	9.00	100000	2023-01-01	2024-01-01
60	20	2024-01-01	Warehouse 3 - Westminster, CA 92683	10.00	100000	2024-01-01	2025-01-01
